InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C14H9N3O5/c15-7-1-2-8(16)12-11(7)13(19)6-3-5(18)4-9(17(21)22)10(6)14(12)20/h1-4,18H,15-16H2",AQMKWUSBOQDMME-UHFFFAOYSA-N,NC1=CC=C(N)C=2C(=O)C3=C(C=C(C=C3[N+]([O-])=O)O)C(=O)C12,,,C14H9N3O5,299.054220388,1.8115999999999997,0,1,1,BTM00009,BTM00009,Aromatic hydroxylation of fused benzene ring,BTMR1030,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C14H9N3O5/c15-6-2-3-7(16)11-10(6)13(19)5-1-4-8(18)12(17(21)22)9(5)14(11)20/h1-4,18H,15-16H2",UCCKWIIOIPNROY-UHFFFAOYSA-N,NC1=CC=C(N)C=2C(=O)C3=C(C=CC(=C3[N+]([O-])=O)O)C(=O)C12,,,C14H9N3O5,299.05422038800003,1.8115999999999997,0,1,1,BTM00010,BTM00010,Aromatic hydroxylation of fused benzene ring,BTMR1030,"CYP1A2
CYP2A6
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP2E1
CYP3A4",HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C14H9N3O5/c15-7-4-5-8(16-20)12-11(7)14(19)10-6(13(12)18)2-1-3-9(10)17(21)22/h1-5,16,20H,15H2",FPAHHRXKBVEUTN-UHFFFAOYSA-N,N(C1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12)O,,,C14H9N3O5,299.05422038800003,2.0717,0,1,1,BTM00011,BTM00011,N-Hydroxylation of primary arylamine,BTMR0042,"CYP1A2
CYP2A6
CYP2B6
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C14H9N3O5/c15-7-4-5-8(16-20)12-11(7)13(18)6-2-1-3-9(17(21)22)10(6)14(12)19/h1-5,16,20H,15H2",BJUWWHFRMDUTGZ-UHFFFAOYSA-N,NC1=CC=C(NO)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,,,C14H9N3O5,299.05422038800003,2.0717,0,1,1,BTM00012,BTM00012,N-Hydroxylation of primary arylamine,BTMR0042,"CYP1A2
CYP2A6
CYP2B6
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C14H11N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5,13,18H,15-16H2",VFWAMMYEMJZKIE-UHFFFAOYSA-N,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(O)C12,,,C14H11N3O4,285.074955832,1.6824999999999994,0,1,1,BTM00013,BTM00013,Reduction of ketone to alcohol,BTMR1171,CYP2C9,HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C14H11N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5,14,19H,15-16H2",CATJOGXUYBVPRG-UHFFFAOYSA-N,NC1=CC=C(N)C=2C(O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,,,C14H11N3O4,285.074955832,1.6824999999999994,0,1,1,BTM00014,BTM00014,Reduction of ketone to alcohol,BTMR1171,CYP2C9,HUMAN,1,NC1=CC=C(N)C=2C(=O)C3=C(C=CC=C3[N+]([O-])=O)C(=O)C12,"InChI=1S/C14H9N3O4/c15-7-4-5-8(16)12-11(7)13(18)6-2-1-3-9(17(20)21)10(6)14(12)19/h1-5H,15-16H2",SDICTISQCKLMEB-UHFFFAOYSA-N,,283.0593
"InChI=1S/C12H12N2OS/c13-9-1-5-11(6-2-9)16(15)12-7-3-10(14)4-8-12/h1-8H,13-14H2",MITHMOYLTXMLRB-UHFFFAOYSA-N,NC1=CC=C(S(C2=CC=C(N)C=C2)=O)C=C1,,,C12H12N2OS,232.067034004,1.7626000000000004,0,0,0,BTM00015,BTM00015,S-Oxidation of diarylthioether to sulfoxide,BTMR0059,"CYP1A2
CYP2B6
CYP2D6
CYP3A4",HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C12H12N2OS/c13-8-1-4-10(5-2-8)16-12-6-3-9(14)7-11(12)15/h1-7,15H,13-14H2",KQZHLPYERUSOPT-UHFFFAOYSA-N,NC1=CC=C(SC2=CC=C(N)C=C2)C(=C1)O,,,C12H12N2OS,232.067034004,2.697400000000001,0,1,1,BTM00016,BTM00016,"2-Hydroxylation of 1,4-disubstituted benzene",BTMR0037,CYP1A2,HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C12H12N2OS/c13-8-1-3-9(4-2-8)16-10-5-6-11(14)12(15)7-10/h1-7,15H,13-14H2",QBFOLIBHHMJWOT-UHFFFAOYSA-N,NC1=CC=C(SC2=CC=C(N)C(=C2)O)C=C1,,,C12H12N2OS,232.067034004,2.697400000000001,0,1,1,BTM00017,BTM00017,"2-Hydroxylation of 1,4-disubstituted benzene",BTMR0037,CYP1A2,HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C12H12N2OS/c13-8-1-3-9(4-2-8)16-10-5-6-11(14)12(15)7-10/h1-7,15H,13-14H2",QBFOLIBHHMJWOT-UHFFFAOYSA-N,NC1=CC=C(SC2=CC=C(N)C(=C2)O)C=C1,,,C12H12N2OS,232.067034004,2.697400000000001,0,1,1,BTM00017,BTM00017,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C12H12N2OS/c13-8-1-3-9(4-2-8)16-10-5-6-11(14)12(15)7-10/h1-7,15H,13-14H2",QBFOLIBHHMJWOT-UHFFFAOYSA-N,NC1=CC=C(SC2=CC=C(N)C(=C2)O)C=C1,,,C12H12N2OS,232.067034004,2.697400000000001,0,1,1,BTM00017,BTM00017,Hydroxylation of benzene on carbon ortho to strongly electron donating group,BTMR1046,"CYP1A2
CYP2A6
CYP2C8
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C12H12N2OS/c13-9-1-5-11(6-2-9)16-12-7-3-10(14-15)4-8-12/h1-8,14-15H,13H2",WPZSTFGKDJTILM-UHFFFAOYSA-N,N(C1=CC=C(SC2=CC=C(N)C=C2)C=C1)O,,,C12H12N2OS,232.067034004,2.9574999999999996,0,1,1,BTM00018,BTM00018,N-Hydroxylation of primary arylamine,BTMR0042,"CYP1A2
CYP2A6
CYP2B6
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C12H12N2OS/c13-7-1-3-8(4-2-7)16-10-6-5-9(14)11-12(10)15-11/h1-6,11-12H,13-14H2",WBRBLVKIKBYASV-UHFFFAOYSA-N,NC=1C2C(C(SC3=CC=C(N)C=C3)=CC1)O2,,,C12H12N2OS,232.067034004,0.8148999999999998,0,0,0,BTM00019,BTM00019,Epoxidation of arene,BTMR1028,"CYP1A2
CYP2B6
CYP2C8
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C12H12N2OS/c13-9-1-5-11(6-2-9)16-12-7-3-10(14-15)4-8-12/h1-8,14-15H,13H2",WPZSTFGKDJTILM-UHFFFAOYSA-N,N(C1=CC=C(SC2=CC=C(N)C=C2)C=C1)O,,,C12H12N2OS,232.067034004,2.9574999999999996,0,1,1,BTM00018,BTM00018,N-Hydroxylation of aniline to hydroxylamine,BTMR1103,"CYP1A2
CYP2C8
CYP2C9
CYP2E1
CYP3A4",HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C12H10N4O5/c13-9-3-6(15(18)19)1-2-7(9)8-4-12(17)10(14)5-11(8)16(20)21/h1-5,17H,13-14H2",GFCQOMKKMBFJNZ-UHFFFAOYSA-N,NC1=C(C=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O)O,,,C12H10N4O5,290.06511942,2.7332000000000005,0,1,1,BTM00020,BTM00020,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C12H10N4O5/c13-9-4-3-8(11(12(9)17)16(20)21)7-2-1-6(15(18)19)5-10(7)14/h1-5,17H,13-14H2",JZUIMZAQXLQJAQ-UHFFFAOYSA-N,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1O)[N+]([O-])=O,,,C12H10N4O5,290.06511942,2.7332000000000005,0,1,1,BTM00021,BTM00021,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C12H10N4O5/c13-6-1-2-8(10(3-6)16(20)21)12-9(14)4-7(15(18)19)5-11(12)17/h1-5,17H,13-14H2",BXSZOUPQNMOAKG-UHFFFAOYSA-N,NC1=CC=C(C2=C(C=C(C=C2N)[N+]([O-])=O)O)C(=C1)[N+]([O-])=O,,,C12H10N4O5,290.06511942,2.7332000000000005,0,1,1,BTM00022,BTM00022,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C12H10N4O5/c13-6-1-2-7(10(5-6)16(20)21)8-3-4-9(15(18)19)12(17)11(8)14/h1-5,17H,13-14H2",HJHPNRRNGCVKAF-UHFFFAOYSA-N,NC1=CC=C(C2=CC=C(C(=C2N)O)[N+]([O-])=O)C(=C1)[N+]([O-])=O,,,C12H10N4O5,290.06511942,2.7332000000000005,0,1,1,BTM00023,BTM00023,Hydroxylation of benzene on carbon ortho to electron donating group,BTMR1045,"CYP1A2
CYP2C8
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C12H10N4O5/c13-9-3-6(15(18)19)1-2-7(9)8-4-12(17)10(14)5-11(8)16(20)21/h1-5,17H,13-14H2",GFCQOMKKMBFJNZ-UHFFFAOYSA-N,NC1=C(C=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O)O,,,C12H10N4O5,290.06511942,2.7332000000000005,0,1,1,BTM00020,BTM00020,Hydroxylation of benzene on carbon ortho to strongly electron donating group,BTMR1046,"CYP1A2
CYP2A6
CYP2C8
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C12H10N4O5/c13-9-4-3-8(11(12(9)17)16(20)21)7-2-1-6(15(18)19)5-10(7)14/h1-5,17H,13-14H2",JZUIMZAQXLQJAQ-UHFFFAOYSA-N,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1O)[N+]([O-])=O,,,C12H10N4O5,290.06511942,2.7332000000000005,0,1,1,BTM00021,BTM00021,Hydroxylation of benzene on carbon ortho to strongly electron donating group,BTMR1046,"CYP1A2
CYP2A6
CYP2C8
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C12H10N4O5/c13-6-1-2-7(10(5-6)16(20)21)8-3-4-9(15(18)19)12(17)11(8)14/h1-5,17H,13-14H2",HJHPNRRNGCVKAF-UHFFFAOYSA-N,NC1=CC=C(C2=CC=C(C(=C2N)O)[N+]([O-])=O)C(=C1)[N+]([O-])=O,,,C12H10N4O5,290.06511942,2.7332000000000005,0,1,1,BTM00023,BTM00023,Hydroxylation of benzene on carbon ortho to strongly electron donating group,BTMR1046,"CYP1A2
CYP2A6
CYP2C8
CYP2C9
CYP2C19
CYP2E1
CYP3A4",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C12H10N4O5/c13-6-1-2-7(10(3-6)15(18)19)8-4-12(17)11(16(20)21)5-9(8)14/h1-5,17H,13-14H2",GYVSOHJCYACBOZ-UHFFFAOYSA-N,NC1=CC=C(C2=CC(=C(C=C2N)[N+]([O-])=O)O)C(=C1)[N+]([O-])=O,,,C12H10N4O5,290.06511942,2.7332000000000005,0,1,1,BTM00024,BTM00024,Hydroxylation of benzene on carbon para to electron donating group,BTMR1047,"CYP1A2
CYP2C8
CYP2C9
CYP2D6
CYP3A4",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
