InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C13H15N2S/c1-16(12-6-2-10(14)3-7-12)13-8-4-11(15)5-9-13/h2-9H,14-15H2,1H3/q+1",IEZFUPILCBXLQT-UHFFFAOYSA-N,NC1=CC=C([S+](C2=CC=C(N)C=C2)C)C=C1,,,C13H15N2S,231.09559448,2.4764999999999997,0,0,0,BTM00009,BTM00009,Thioether S-methylation,BTMR0214,EC 2.1.1.96,HUMAN,2,NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ICNFHJVPAJKPHW-UHFFFAOYSA-N,,216.0721
"InChI=1S/C18H18N4O10/c19-11-6-8(21(28)29)2-4-9(11)10-3-1-7(5-12(10)22(30)31)20-17-15(25)13(23)14(24)16(32-17)18(26)27/h1-6,13-17,20,23-25H,19H2,(H,26,27)",CCZZGVBOVQVKBE-UHFFFAOYSA-N,N(C1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O)C3OC(C(O)C(O)C3O)C(O)=O,,,C18H18N4O10,450.10229277599996,1.5026999999999986,1,1,1,BTM00010,BTM00010,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C18H18N4O10/c19-7-1-3-10(12(5-7)22(30)31)9-4-2-8(21(28)29)6-11(9)20-17-15(25)13(23)14(24)16(32-17)18(26)27/h1-6,13-17,20,23-25H,19H2,(H,26,27)",OBJIOFBUYLKMPM-UHFFFAOYSA-N,NC1=CC=C(C2=CC=C(C=C2NC3OC(C(O)C(O)C3O)C(O)=O)[N+]([O-])=O)C(=C1)[N+]([O-])=O,,,C18H18N4O10,450.102292776,1.5026999999999986,1,1,1,BTM00011,BTM00011,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C14H12N4O5/c1-8(19)16-9-2-4-12(14(6-9)18(22)23)11-5-3-10(17(20)21)7-13(11)15/h2-7H,15H2,1H3,(H,16,19)",BDRZLABCFQMTBI-UHFFFAOYSA-N,N(C1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O)C(=O)C,,,C14H12N4O5,316.080769484,2.971199999999999,0,0,0,BTM00012,BTM00012,N-Acetylation of arylamine,BTMR0187,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C14H12N4O5/c1-8(19)16-13-7-10(17(20)21)3-5-11(13)12-4-2-9(15)6-14(12)18(22)23/h2-7H,15H2,1H3,(H,16,19)",ZQNBPBLFJAQTCQ-UHFFFAOYSA-N,NC1=CC=C(C2=CC=C(C=C2NC(=O)C)[N+]([O-])=O)C(=C1)[N+]([O-])=O,,,C14H12N4O5,316.08076948400003,2.971199999999999,0,0,0,BTM00013,BTM00013,N-Acetylation of arylamine,BTMR0187,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C14H12N4O5/c1-8(19)16-9-2-4-12(14(6-9)18(22)23)11-5-3-10(17(20)21)7-13(11)15/h2-7H,15H2,1H3,(H,16,19)",BDRZLABCFQMTBI-UHFFFAOYSA-N,N(C1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O)C(=O)C,,,C14H12N4O5,316.080769484,2.971199999999999,0,0,0,BTM00012,BTM00012,N-Acetylation of arylamine,BTMR1242,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C14H12N4O5/c1-8(19)16-13-7-10(17(20)21)3-5-11(13)12-4-2-9(15)6-14(12)18(22)23/h2-7H,15H2,1H3,(H,16,19)",ZQNBPBLFJAQTCQ-UHFFFAOYSA-N,NC1=CC=C(C2=CC=C(C=C2NC(=O)C)[N+]([O-])=O)C(=C1)[N+]([O-])=O,,,C14H12N4O5,316.08076948400003,2.971199999999999,0,0,0,BTM00013,BTM00013,N-Acetylation of arylamine,BTMR1242,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,3,NC1=CC=C(C2=CC=C(C=C2N)[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C12H10N4O4/c13-7-1-3-10(12(5-7)16(19)20)9-4-2-8(15(17)18)6-11(9)14/h1-6H,13-14H2",VFOOHDPIWYRUFJ-UHFFFAOYSA-N,,274.0702
"InChI=1S/C12H16N2O6/c13-5-3-1-2-4-6(5)14-11-9(17)7(15)8(16)10(20-11)12(18)19/h1-4,7-11,14-17H,13H2,(H,18,19)",JQJBJRWSTQSFMA-UHFFFAOYSA-N,N(C1=CC=CC=C1N)C2OC(C(O)C(O)C2O)C(O)=O,,,C12H16N2O6,284.10083623199995,-1.0336999999999996,1,1,1,BTM00014,BTM00014,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,4,NC1=CC=CC=C1N,"InChI=1S/C6H8N2/c7-5-3-1-2-4-6(5)8/h1-4H,7-8H2",GEYOCULIXLDCMW-UHFFFAOYSA-N,,108.0687
"InChI=1S/C8H10N2O/c1-6(11)10-8-5-3-2-4-7(8)9/h2-5H,9H2,1H3,(H,10,11)",MPXAYYWSDIKNTP-UHFFFAOYSA-N,N(C1=CC=CC=C1N)C(=O)C,,,C8H10N2O,150.07931294,0.43479999999999963,0,0,0,BTM00015,BTM00015,N-Acetylation of arylamine,BTMR0187,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,4,NC1=CC=CC=C1N,"InChI=1S/C6H8N2/c7-5-3-1-2-4-6(5)8/h1-4H,7-8H2",GEYOCULIXLDCMW-UHFFFAOYSA-N,,108.0687
"InChI=1S/C8H10N2O/c1-6(11)10-8-5-3-2-4-7(8)9/h2-5H,9H2,1H3,(H,10,11)",MPXAYYWSDIKNTP-UHFFFAOYSA-N,N(C1=CC=CC=C1N)C(=O)C,,,C8H10N2O,150.07931294,0.43479999999999963,0,0,0,BTM00015,BTM00015,N-Acetylation of arylamine,BTMR1242,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,4,NC1=CC=CC=C1N,"InChI=1S/C6H8N2/c7-5-3-1-2-4-6(5)8/h1-4H,7-8H2",GEYOCULIXLDCMW-UHFFFAOYSA-N,,108.0687
"InChI=1S/C19H18N2O6/c22-14-15(23)17(19(25)26)27-18(16(14)24)20-11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)21-13/h1-8,14-18,20,22-24H,(H,25,26)",DDLDCFUWOJTAJK-UHFFFAOYSA-N,N(C1=CC=C2N=C3C=CC=CC3=CC2=C1)C4OC(C(O)C(O)C4O)C(O)=O,,,C19H18N2O6,370.11648629599995,1.236099999999999,0,1,1,BTM00016,BTM00016,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,5,NC1=CC=C2N=C3C=CC=CC3=CC2=C1,"InChI=1S/C13H10N2/c14-11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)15-13/h1-8H,14H2",UTXPWBKKZFLMPZ-UHFFFAOYSA-N,,194.0843
"InChI=1S/C15H12N2O/c1-10(18)16-13-6-7-15-12(9-13)8-11-4-2-3-5-14(11)17-15/h2-9H,1H3,(H,16,18)",QMRJLXOCWJOZLU-UHFFFAOYSA-N,N(C1=CC=C2N=C3C=CC=CC3=CC2=C1)C(=O)C,,,C15H12N2O,236.094963004,2.7045999999999997,0,0,0,BTM00017,BTM00017,N-Acetylation of arylamine,BTMR0187,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,5,NC1=CC=C2N=C3C=CC=CC3=CC2=C1,"InChI=1S/C13H10N2/c14-11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)15-13/h1-8H,14H2",UTXPWBKKZFLMPZ-UHFFFAOYSA-N,,194.0843
"InChI=1S/C19H16N4O10/c24-14-15(25)17(19(27)28)33-18(16(14)26)21-13-9-5-7(22(29)30)1-3-11(9)20-12-4-2-8(23(31)32)6-10(12)13/h1-6,14-18,24-26H,(H,20,21)(H,27,28)",RMAFRJWXZGBZAV-UHFFFAOYSA-N,N(C1=C2C=C(C=CC2=NC3=CC=C(C=C13)[N+]([O-])=O)[N+]([O-])=O)C4OC(C(O)C(O)C4O)C(O)=O,,,C19H16N4O10,460.08664271199996,2.1718999999999986,0,1,1,BTM00018,BTM00018,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,6,NC1=C2C=C(C=CC2=NC3=CC=C(C=C13)[N+]([O-])=O)[N+]([O-])=O,"InChI=1S/C13H8N4O4/c14-13-9-5-7(16(18)19)1-3-11(9)15-12-4-2-8(17(20)21)6-10(12)13/h1-6H,(H2,14,15)",QSIXIMZVUAJUNG-UHFFFAOYSA-N,,284.0545
"InChI=1S/C12H13ClN2O9/c13-3-1-4(14)6(2-5(3)15(21)22)23-12-9(18)7(16)8(17)10(24-12)11(19)20/h1-2,7-10,12,16-18H,14H2,(H,19,20)",PJMDXFLEKACUHJ-UHFFFAOYSA-N,NC1=CC(Cl)=C(C=C1OC2OC(C(O)C(O)C2O)C(O)=O)[N+]([O-])=O,,,C12H13ClN2O9,364.030957676,0.4420000000000003,0,1,1,BTM00019,BTM00019,Aromatic OH-glucuronidation,BTMR0166,EC 2.4.1.17,HUMAN,7,NC1=CC(Cl)=C(C=C1O)[N+]([O-])=O,"InChI=1S/C6H5ClN2O3/c7-3-1-4(8)6(10)2-5(3)9(11)12/h1-2,10H,8H2",ZARYBZGMUVAJMK-UHFFFAOYSA-N,,187.9988
"InChI=1S/C12H13ClN2O9/c13-3-1-4(6(16)2-5(3)15(22)23)14-11-9(19)7(17)8(18)10(24-11)12(20)21/h1-2,7-11,14,16-19H,(H,20,21)",RRKLONLRWMFODT-UHFFFAOYSA-N,N(C1=CC(Cl)=C(C=C1O)[N+]([O-])=O)C2OC(C(O)C(O)C2O)C(O)=O,,,C12H13ClN2O9,364.03095767599996,0.7463000000000003,1,1,1,BTM00020,BTM00020,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,7,NC1=CC(Cl)=C(C=C1O)[N+]([O-])=O,"InChI=1S/C6H5ClN2O3/c7-3-1-4(8)6(10)2-5(3)9(11)12/h1-2,10H,8H2",ZARYBZGMUVAJMK-UHFFFAOYSA-N,,187.9988
"InChI=1S/C8H7ClN2O4/c1-4(12)10-6-2-5(9)7(11(14)15)3-8(6)13/h2-3,13H,1H3,(H,10,12)",UUFBMTVMATXMHL-UHFFFAOYSA-N,N(C1=CC(Cl)=C(C=C1O)[N+]([O-])=O)C(=O)C,,,C8H7ClN2O4,230.009434384,2.2148,0,0,0,BTM00021,BTM00021,N-Acetylation of arylamine,BTMR0187,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,7,NC1=CC(Cl)=C(C=C1O)[N+]([O-])=O,"InChI=1S/C6H5ClN2O3/c7-3-1-4(8)6(10)2-5(3)9(11)12/h1-2,10H,8H2",ZARYBZGMUVAJMK-UHFFFAOYSA-N,,187.9988
"InChI=1S/C8H7ClN2O4/c1-4(12)10-6-2-5(9)7(11(14)15)3-8(6)13/h2-3,13H,1H3,(H,10,12)",UUFBMTVMATXMHL-UHFFFAOYSA-N,N(C1=CC(Cl)=C(C=C1O)[N+]([O-])=O)C(=O)C,,,C8H7ClN2O4,230.009434384,2.2148,0,0,0,BTM00021,BTM00021,N-Acetylation of arylamine,BTMR1242,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,7,NC1=CC(Cl)=C(C=C1O)[N+]([O-])=O,"InChI=1S/C6H5ClN2O3/c7-3-1-4(8)6(10)2-5(3)9(11)12/h1-2,10H,8H2",ZARYBZGMUVAJMK-UHFFFAOYSA-N,,187.9988
"InChI=1S/C19H20N4O10/c20-10-3-1-8(12(6-10)22(29)30)5-9-2-4-11(7-13(9)23(31)32)21-18-16(26)14(24)15(25)17(33-18)19(27)28/h1-4,6-7,14-18,21,24-26H,5,20H2,(H,27,28)",DPJGVAHVFATBMN-UHFFFAOYSA-N,N(C1=CC=C(CC2=CC=C(N)C=C2[N+]([O-])=O)C(=C1)[N+]([O-])=O)C3OC(C(O)C(O)C3O)C(O)=O,,,C19H20N4O10,464.11794284,2.086300000000001,1,1,1,BTM00022,BTM00022,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,8,NC1=CC=C(CC2=CC=C(N)C=C2[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C13H12N4O4/c14-10-3-1-8(12(6-10)16(18)19)5-9-2-4-11(15)7-13(9)17(20)21/h1-4,6-7H,5,14-15H2",KENYTAOVAUETRB-UHFFFAOYSA-N,,288.0858
"InChI=1S/C15H14N4O5/c1-9(20)17-13-5-3-11(15(8-13)19(23)24)6-10-2-4-12(16)7-14(10)18(21)22/h2-5,7-8H,6,16H2,1H3,(H,17,20)",DTZLLFRIKWVXEC-UHFFFAOYSA-N,N(C1=CC=C(CC2=CC=C(N)C=C2[N+]([O-])=O)C(=C1)[N+]([O-])=O)C(=O)C,,,C15H14N4O5,330.096419548,3.5547999999999997,0,0,0,BTM00023,BTM00023,N-Acetylation of arylamine,BTMR0187,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,8,NC1=CC=C(CC2=CC=C(N)C=C2[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C13H12N4O4/c14-10-3-1-8(12(6-10)16(18)19)5-9-2-4-11(15)7-13(9)17(20)21/h1-4,6-7H,5,14-15H2",KENYTAOVAUETRB-UHFFFAOYSA-N,,288.0858
"InChI=1S/C15H14N4O5/c1-9(20)17-13-5-3-11(15(8-13)19(23)24)6-10-2-4-12(16)7-14(10)18(21)22/h2-5,7-8H,6,16H2,1H3,(H,17,20)",DTZLLFRIKWVXEC-UHFFFAOYSA-N,N(C1=CC=C(CC2=CC=C(N)C=C2[N+]([O-])=O)C(=C1)[N+]([O-])=O)C(=O)C,,,C15H14N4O5,330.096419548,3.5547999999999997,0,0,0,BTM00023,BTM00023,N-Acetylation of arylamine,BTMR1242,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,8,NC1=CC=C(CC2=CC=C(N)C=C2[N+]([O-])=O)C(=C1)[N+]([O-])=O,"InChI=1S/C13H12N4O4/c14-10-3-1-8(12(6-10)16(18)19)5-9-2-4-11(15)7-13(9)17(20)21/h1-4,6-7H,5,14-15H2",KENYTAOVAUETRB-UHFFFAOYSA-N,,288.0858
"InChI=1S/C18H17N3O8/c22-13-14(23)16(18(25)26)29-17(15(13)24)20-11-6-10-8(5-12(11)21(27)28)7-3-1-2-4-9(7)19-10/h1-6,13-17,19-20,22-24H,(H,25,26)",GNKATUXNRBCMMT-UHFFFAOYSA-N,N(C1=CC=2NC3=CC=CC=C3C2C=C1[N+]([O-])=O)C4OC(C(O)C(O)C4O)C(O)=O,,,C18H17N3O8,403.101564504,1.7151999999999996,1,1,1,BTM00024,BTM00024,Glucuronidation of primary aromatic amine,BTMR0171,EC 2.4.1.17,HUMAN,9,NC1=CC=2NC3=CC=CC=C3C2C=C1[N+]([O-])=O,"InChI=1S/C12H9N3O2/c13-9-6-11-8(5-12(9)15(16)17)7-3-1-2-4-10(7)14-11/h1-6,14H,13H2",YWXUPCLUXSCTOD-UHFFFAOYSA-N,,227.0694
"InChI=1S/C14H11N3O3/c1-8(18)15-13-7-12-10(6-14(13)17(19)20)9-4-2-3-5-11(9)16-12/h2-7,16H,1H3,(H,15,18)",LMWOXDNIDAMUQE-UHFFFAOYSA-N,N(C1=CC=2NC3=CC=CC=C3C2C=C1[N+]([O-])=O)C(=O)C,,,C14H11N3O3,269.08004121199997,3.183699999999999,0,0,0,BTM00025,BTM00025,N-Acetylation of arylamine,BTMR0187,"EC 2.3.1.5
Unspecified acetyltransferase",HUMAN,9,NC1=CC=2NC3=CC=CC=C3C2C=C1[N+]([O-])=O,"InChI=1S/C12H9N3O2/c13-9-6-11-8(5-12(9)15(16)17)7-3-1-2-4-10(7)14-11/h1-6,14H,13H2",YWXUPCLUXSCTOD-UHFFFAOYSA-N,,227.0694
"InChI=1S/C13H16N2O9/c14-6-2-1-5(7(3-6)15(21)22)4-23-13-10(18)8(16)9(17)11(24-13)12(19)20/h1-3,8-11,13,16-18H,4,14H2,(H,19,20)",YLGIKQIEYKWZKV-UHFFFAOYSA-N,NC1=CC=C(COC2OC(C(O)=O)C(C(C2O)O)O)C(=C1)[N+]([O-])=O,,,C13H16N2O9,344.085580092,-0.5293999999999991,0,1,1,BTM00026,BTM00026,Alkyl-OH-glucuronidation,BTMR0165,EC 2.4.1.17,HUMAN,10,NC1=CC=C(CO)C(=C1)[N+]([O-])=O,"InChI=1S/C7H8N2O3/c8-6-2-1-5(4-10)7(3-6)9(11)12/h1-3,10H,4,8H2",LYFKDORDJDVFOZ-UHFFFAOYSA-N,,168.0534
